snapshot_time,competition,event,end_date,moneyline_home_yes_prob,moneyline_home_yes_odds,moneyline_home_no_prob,moneyline_home_no_odds,moneyline_home_volume,moneyline_home_volume_24h,moneyline_home_liquidity,moneyline_home_spread,moneyline_away_yes_prob,moneyline_away_yes_odds,moneyline_away_no_prob,moneyline_away_no_odds,moneyline_away_volume,moneyline_away_volume_24h,moneyline_away_liquidity,moneyline_away_spread,draw_yes_prob,draw_yes_odds,draw_no_prob,draw_no_odds,draw_volume,draw_volume_24h,draw_liquidity,draw_spread,over25_prob,over25_odds,under25_prob,under25_odds,ou25_volume,ou25_volume_24h,ou25_liquidity,ou25_spread,btts_yes_prob,btts_yes_odds,btts_no_prob,btts_no_odds,btts_volume,btts_volume_24h,btts_liquidity,btts_spread,url
2026-06-09T06:22:18.362476+00:00,fifa world cup,Mexico vs. South Africa,2026-06-11T19:00:00Z,0.685,1.46,0.315,3.17,383977.47034500993,96461.21695499997,386199.294,0.01,0.105,9.52,0.895,1.12,142574.36345199926,19597.679757000016,558884.8595,0.01,0.205,4.88,0.795,1.26,36911.865222999964,11038.919183999997,229432.3522,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-mex-rsa-2026-06-11
2026-06-09T06:22:18.362476+00:00,fifa world cup,Korea Republic vs. Czechia,2026-06-12T02:00:00Z,0.365,2.74,0.635,1.57,175851.59588,54524.52497199996,195317.6029,0.01,0.325,3.08,0.675,1.48,62102.96783799988,34356.211278999974,123095.8401,0.01,0.315,3.17,0.685,1.46,16074.501672000019,2938.331435,157750.9345,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-kr-cze-2026-06-11
2026-06-09T06:22:18.362476+00:00,fifa world cup,Canada vs. Bosnia and Herzegovina,2026-06-12T19:00:00Z,0.545,1.83,0.455,2.2,55602.09073500014,1316.198445999999,134921.242,0.01,0.195,5.13,0.805,1.24,42664.02169799997,2537.9236939999996,106169.3082,0.01,0.265,3.77,0.735,1.36,15305.916743000027,295.067214,127561.6089,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-can-bih-2026-06-12
2026-06-09T06:22:18.362476+00:00,fifa world cup,United States vs. Paraguay,2026-06-13T01:00:00Z,0.495,2.02,0.505,1.98,205976.4505650006,64955.893302000004,259860.595,0.01,0.235,4.26,0.765,1.31,150029.09423299978,54760.86224499999,154648.9138,0.01,0.285,3.51,0.715,1.4,11126.953760000006,1519.7158359999999,111936.2139,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-usa-par-2026-06-12
2026-06-09T06:22:18.362476+00:00,fifa world cup,Qatar vs. Switzerland,2026-06-13T19:00:00Z,0.0675,14.81,0.9325,1.07,63372.1954209999,13295.376690999998,191449.70695,0.003,0.795,1.26,0.205,4.88,40222.92085800002,14625.181068,111774.4572,0.01,0.135,7.41,0.865,1.16,10354.006313000016,1151.3051060000003,146374.5465,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-qat-che-2026-06-13
2026-06-09T06:22:18.362476+00:00,fifa world cup,Brazil vs. Morocco,2026-06-13T22:00:00Z,0.585,1.71,0.415,2.41,101042.13886300007,8666.625590999984,160923.6775,0.01,0.175,5.71,0.825,1.21,72117.59350100013,14446.420314000014,140024.0436,0.01,0.245,4.08,0.755,1.32,11888.957300999999,1048.8331530000003,101497.5863,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-bra-mar-2026-06-13
2026-06-09T06:22:18.362476+00:00,fifa world cup,Haiti vs. Scotland,2026-06-14T01:00:00Z,0.145,6.9,0.855,1.17,45595.79670899995,4254.696539999999,111574.4462,0.01,0.645,1.55,0.355,2.82,75445.43655600083,18604.19870399999,108274.7447,0.01,0.215,4.65,0.785,1.27,6822.874824999993,280.614685,78917.5926,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-hai-sco-2026-06-13
2026-06-09T06:22:18.362476+00:00,fifa world cup,Australia vs. Türkiye,2026-06-14T04:00:00Z,0.185,5.41,0.815,1.23,13887.271453000025,1402.2615489999996,126848.7025,0.01,0.565,1.77,0.435,2.3,35618.18289600014,10888.955670000014,109601.7686,0.01,0.265,3.77,0.735,1.36,1684.5337039999997,211.2437,92350.9663,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-aus-tur-2026-06-14
2026-06-09T06:22:18.362476+00:00,fifa world cup,Germany vs. Curaçao,2026-06-14T17:00:00Z,0.9345,1.07,0.0655,15.27,119003.86399499958,41165.80461000004,47019.65661,0.001,0.0215,46.51,0.9785,1.02,174143.06275599974,30054.027411000006,95580.01369,0.001,0.046,21.74,0.954,1.05,71473.38583199999,6030.470936000001,36324.95901,0.004,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-ger-kor-2026-06-14
2026-06-09T06:22:18.362476+00:00,fifa world cup,Netherlands vs. Japan,2026-06-14T20:00:00Z,0.465,2.15,0.535,1.87,223702.89466800078,126184.04971699994,280632.7116,0.01,0.255,3.92,0.745,1.34,61996.75919399995,26677.089065999993,116572.7912,0.01,0.265,3.77,0.735,1.36,7263.209045000003,721.3735350000001,87305.0298,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-nld-jpn-2026-06-14
