snapshot_time,competition,event,market,outcome,probability,decimal_odds,volume,volume_24h,liquidity,spread,end_date,market_score,url,moneyline,total_over_under2.5,btts_yes_no
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Spain - Yes,0.1745,5.73,23911632.24728709,137508.27283199993,402087.50711,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Spain - No,0.8255,1.21,23911632.24728709,137508.27283199993,402087.50711,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,New Zealand - Yes,0.0005,2000.0,34901854.28064518,140511.39,9045563.51156,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,New Zealand - No,0.9995,1.0,34901854.28064518,140511.39,9045563.51156,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Switzerland - Yes,0.0095,105.26,20930278.822312415,276539.833528,1520230.0191,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Switzerland - No,0.9905,1.01,20930278.822312415,276539.833528,1520230.0191,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,England - Yes,0.1125,8.89,19371964.606574994,173759.22153800004,1361533.65647,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,England - No,0.8875,1.13,19371964.606574994,173759.22153800004,1361533.65647,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Team AM - Yes,,,0,0,0,1,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Team AM - No,,,0,0,0,1,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,France - Yes,0.1775,5.63,29933704.535514373,284788.8200750002,663090.97316,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,France - No,0.8225,1.22,29933704.535514373,284788.8200750002,663090.97316,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,South Korea - Yes,0.0035,285.71,27739023.69602747,152742.02056899993,6007218.78026,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,South Korea - No,0.9965,1.0,27739023.69602747,152742.02056899993,6007218.78026,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Haiti - Yes,0.0005,2000.0,19960068.80882009,3504.89,9665179.93638,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Haiti - No,0.9995,1.0,19960068.80882009,3504.89,9665179.93638,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
